                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3489,                 1.8997,                 1.2304,                0.57558,                0.41367,                0.43386,                0.26702,                 1.4627,                 1.6326,                 1.2971,             0.00030257,             0.00030257,             0.00030257
                      2,                 1.4125,                 1.5528,                 1.2842,                0.60076,                0.43944,                0.48118,                0.29351,                 1.4873,                 1.4686,                 1.3104,              0.0005756,              0.0005756,              0.0005756
                      3,                 1.4225,                 1.5052,                 1.2939,                 0.6208,                0.41946,                0.47409,                0.29368,                 1.5073,                 1.4933,                 1.3298,             0.00081863,             0.00081863,             0.00081863
                      4,                 1.4174,                 1.4694,                 1.2937,                0.67383,                0.45321,                0.51927,                0.32127,                 1.4592,                 1.3501,                 1.2935,             0.00077401,             0.00077401,             0.00077401
                      5,                 1.3959,                 1.4246,                 1.2834,                 0.6147,                0.48186,                0.53152,                0.33562,                 1.4419,                 1.3252,                  1.287,             0.00077401,             0.00077401,             0.00077401
                      6,                 1.3743,                 1.3816,                 1.2688,                0.66675,                0.48808,                 0.5515,                0.35176,                  1.393,                 1.3679,                 1.2553,             0.00072902,             0.00072902,             0.00072902
                      7,                 1.3523,                 1.3429,                  1.255,                0.64726,                0.50119,                0.56812,                0.37156,                 1.3668,                 1.2303,                 1.2321,             0.00068402,             0.00068402,             0.00068402
                      8,                 1.3339,                 1.3159,                 1.2427,                0.69154,                0.50368,                0.57898,                0.37711,                 1.3534,                 1.1996,                 1.2248,             0.00063903,             0.00063903,             0.00063903
                      9,                  1.322,                 1.2882,                 1.2344,                0.65446,                0.51206,                0.57575,                0.38064,                 1.3555,                 1.2045,                  1.224,             0.00059403,             0.00059403,             0.00059403
                     10,                 1.3026,                 1.2591,                  1.226,                0.69163,                 0.5332,                0.59654,                0.39481,                 1.3203,                 1.1612,                 1.2112,             0.00054904,             0.00054904,             0.00054904
                     11,                  1.342,                 1.2401,                 1.2518,                0.68138,                0.53678,                0.60113,                0.39945,                 1.3218,                 1.1548,                 1.2096,             0.00050404,             0.00050404,             0.00050404
                     12,                 1.3265,                 1.2072,                 1.2399,                 0.7038,                0.54631,                0.61556,                0.41085,                  1.311,                 1.1258,                 1.2024,             0.00045904,             0.00045904,             0.00045904
                     13,                  1.312,                 1.1842,                 1.2327,                0.69408,                0.53296,                0.61125,                0.41084,                 1.2967,                 1.1251,                 1.1947,             0.00041405,             0.00041405,             0.00041405
                     14,                  1.303,                 1.1631,                 1.2242,                0.71299,                0.55466,                0.62655,                 0.4203,                 1.2876,                 1.0889,                 1.1835,             0.00036905,             0.00036905,             0.00036905
                     15,                 1.2839,                 1.1414,                 1.2143,                0.73546,                0.54758,                0.62931,                0.42621,                 1.2706,                 1.0727,                  1.177,             0.00032406,             0.00032406,             0.00032406
                     16,                 1.2737,                  1.119,                 1.2072,                0.72426,                0.55887,                0.63579,                0.43203,                 1.2646,                  1.062,                 1.1753,             0.00027906,             0.00027906,             0.00027906
                     17,                 1.2568,                 1.0975,                 1.1973,                0.72107,                0.56624,                0.64442,                0.43667,                 1.2601,                   1.05,                 1.1684,             0.00023407,             0.00023407,             0.00023407
                     18,                 1.2461,                   1.08,                  1.189,                0.70668,                0.57752,                0.64427,                0.43794,                 1.2528,                 1.0456,                  1.166,             0.00018907,             0.00018907,             0.00018907
                     19,                 1.2357,                 1.0597,                 1.1816,                0.70563,                0.59095,                0.65378,                0.44372,                 1.2479,                 1.0341,                 1.1628,             0.00014408,             0.00014408,             0.00014408
                     20,                 1.2248,                 1.0422,                  1.174,                0.73279,                0.57586,                0.65664,                0.44904,                 1.2462,                 1.0247,                 1.1581,             9.9081e-05,             9.9081e-05,             9.9081e-05
